day,direction,entry_ts,exit_ts,entry_index,exit_index,reference_level,index_stop,beta,strike_rank,lots,quantity,risk_rupees,pnl_rupees,pnl_r,mfe_rupees,mfe_r,capture_pct,exit_reason,minutes_open
2026-02-04,CE,2026-02-04 09:10:00+00:00,2026-02-04 09:18:00+00:00,60369.800000,60303.40,60274.650000,60303.40,0.5,ATM,1,30,996.00,-1096.00,-1.10,72.75,0.07,0,index_structure_stop,8
2026-02-05,PE,2026-02-05 04:20:00+00:00,2026-02-05 04:44:00+00:00,60095.800000,60158.54,60157.600000,60158.54,0.5,ATM,1,30,941.10,-1041.10,-1.11,432.75,0.46,0,index_structure_stop,24
2026-02-06,PE,2026-02-06 05:10:00+00:00,2026-02-06 05:32:00+00:00,59744.000000,59738.850000,59924.150000,59846.60,0.35,OTM1,1,30,1077.30,-1.00,-0.00,1044.23,0.97,0,mfe_ratchet_stop,22
2026-02-13,PE,2026-02-13 05:35:00+00:00,2026-02-13 05:41:00+00:00,60341.550000,60300.300000,60444.800000,60410.52,0.5,ATM,1,30,1034.55,630.50,0.61,1045.50,1.01,60.31,mfe_ratchet_stop,6
2026-02-16,CE,2026-02-16 04:45:00+00:00,2026-02-16 07:19:00+00:00,60439.450000,60642.150000,60266.500000,60324.05,0.35,OTM1,1,30,1211.70,2190.50,1.81,3272.33,2.70,66.94,mfe_ratchet_stop,154
2026-02-16,CE,2026-02-16 08:15:00+00:00,2026-02-16 08:25:00+00:00,60791.600000,60704.83,60266.500000,60704.83,0.5,ATM,1,30,1301.55,-1401.55,-1.08,239.25,0.18,0,index_structure_stop,10
2026-02-17,CE,2026-02-17 06:50:00+00:00,2026-02-17 07:00:00+00:00,61174.350000,61109.01,60886.100000,61109.01,0.5,ATM,1,30,980.10,-1080.10,-1.10,166.50,0.17,0,index_structure_stop,10
2026-02-19,PE,2026-02-19 05:05:00+00:00,2026-02-19 05:11:00+00:00,61356.950000,61311.000000,61433.100000,61417.67,0.5,ATM,1,30,910.80,966.50,1.06,1525.50,1.67,63.36,mfe_ratchet_stop,6
2026-02-19,PE,2026-02-19 07:05:00+00:00,2026-02-19 07:19:00+00:00,61074.500000,61018.400000,61433.100000,61174.95,0.35,OTM1,1,30,1054.73,744.50,0.71,1206.45,1.14,61.71,mfe_ratchet_stop,14
2026-02-19,PE,2026-02-19 08:20:00+00:00,2026-02-19 08:24:00+00:00,61007.750000,61016.200000,61433.100000,61077.67,0.5,ATM,1,30,1048.80,-1.00,-0.00,539.25,0.51,0,mfe_ratchet_stop,4
