strategy_id,strategy_name,day,underlying,underlying_symbol,direction,structure,entry_time,exit_time,entry_underlying,exit_underlying,risk_rupees,pnl_rupees,pnl_r,exit_reason,signal_reason,max_loss_rupees,target_r
nifty_orb_debit_spread,Nifty ORB Debit Spread,2026-02-01,NIFTY,NSE:NIFTY50-INDEX,long,bull_call_debit_spread,2026-02-01 11:05:00,2026-02-01 11:40:00,25417.55,25311.55,1430.00,-1550.00,-1.08,structure_stop,5m close above opening range with volume confirmation,1430.00,1.27
nifty_vwap_mean_reversion,Nifty VWAP Mean Reversion Long,2026-02-01,NIFTY,NSE:NIFTY50-INDEX,long_pe,long_atm_pe,2026-02-01 10:25:00,2026-02-01 11:55:00,25368.25,25279.85,1449.50,1619.40,1.12,target_r,range-day upper VWAP band rejection,1449.50,1.2
single_stock_momentum_index_confirm,Single-Stock Momentum with Index Confirmation,2026-02-01,RELIANCE,NSE:RELIANCE-EQ,long,stock_option_debit_spread,2026-02-01 10:10:00,2026-02-01 12:10:00,1404.80,1401.10,1425.00,-1675.00,-1.18,structure_stop,RELIANCE OR breakout confirmed by NIFTY and relative strength,1425.00,2
nifty_vwap_mean_reversion,Nifty VWAP Mean Reversion Long,2026-02-02,NIFTY,NSE:NIFTY50-INDEX,long_ce,long_atm_ce,2026-02-02 11:10:00,2026-02-02 11:30:00,24728.45,24826.75,1449.50,1619.40,1.12,target_r,range-day lower VWAP band rejection,1449.50,1.2
cpr_trend_debit_spread,CPR Trend-Day Debit Spread,2026-02-06,NIFTY,NSE:NIFTY50-INDEX,short,bear_put_debit_spread,2026-02-06 09:45:00,2026-02-06 11:40:00,25569.00,25623.80,1430.00,-1550.00,-1.08,structure_stop,narrow CPR trend day short break beyond previous low,1430.00,1.27
cpr_trend_debit_spread,CPR Trend-Day Debit Spread,2026-02-09,NIFTY,NSE:NIFTY50-INDEX,long,bull_call_debit_spread,2026-02-09 09:45:00,2026-02-09 14:50:00,25812.00,25848.50,1430.00,688.85,0.48,time_exit,narrow CPR trend day long break beyond previous high,1430.00,1.27
nifty_orb_debit_spread,Nifty ORB Debit Spread,2026-02-10,NIFTY,NSE:NIFTY50-INDEX,long,bull_call_debit_spread,2026-02-10 12:05:00,2026-02-10 13:50:00,25954.40,25934.10,1430.00,-567.38,-0.40,time_exit,5m close above opening range with volume confirmation,1430.00,1.27
cpr_trend_debit_spread,CPR Trend-Day Debit Spread,2026-02-10,NIFTY,NSE:NIFTY50-INDEX,long,bull_call_debit_spread,2026-02-10 09:45:00,2026-02-10 14:50:00,25948.20,25935.35,1430.00,-403.26,-0.28,time_exit,narrow CPR trend day long break beyond previous high,1430.00,1.27
expiry_tuesday_directional,Expiry Tuesday Nifty Defined-Risk Directional,2026-02-10,NIFTY,NSE:NIFTY50-INDEX,long,long_atm_ce,2026-02-10 12:05:00,2026-02-10 13:05:00,25954.40,25978.75,1449.50,559.95,0.39,time_exit,Tuesday expiry OR breakout with volume confirmation,1449.50,1
nifty_orb_debit_spread,Nifty ORB Debit Spread,2026-02-11,NIFTY,NSE:NIFTY50-INDEX,short,bear_put_debit_spread,2026-02-11 12:35:00,2026-02-11 13:50:00,25917.05,25932.05,1430.00,-451.06,-0.32,time_exit,5m close below opening range with volume confirmation,1430.00,1.27
