# NIFTY Midcap 100 watchlist
# Source: official NSE/Nifty Indices constituent CSV downloaded from niftyindices.com
# FYERS-tradable list excludes official dummy constituents that FYERS history rejects: NIFTYNEXT50:DUMMYVEDL1, NIFTYNEXT50:DUMMYVEDL2, NIFTYNEXT50:DUMMYVEDL3, NIFTYNEXT50:DUMMYVEDL4
# Columns: symbol,fyers_symbol,company,sector,basket,notes
symbol,fyers_symbol,company,sector,basket,notes
360ONE,NSE:360ONE-EQ,360 ONE WAM Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
APLAPOLLO,NSE:APLAPOLLO-EQ,APL Apollo Tubes Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
AUBANK,NSE:AUBANK-EQ,AU Small Finance Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ATGL,NSE:ATGL-EQ,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ABCAPITAL,NSE:ABCAPITAL-EQ,Aditya Birla Capital Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ALKEM,NSE:ALKEM-EQ,Alkem Laboratories Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ASHOKLEY,NSE:ASHOKLEY-EQ,Ashok Leyland Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
ASTRAL,NSE:ASTRAL-EQ,Astral Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
AUROPHARMA,NSE:AUROPHARMA-EQ,Aurobindo Pharma Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BSE,NSE:BSE-EQ,BSE Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BANKINDIA,NSE:BANKINDIA-EQ,Bank of India,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BDL,NSE:BDL-EQ,Bharat Dynamics Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BHARATFORG,NSE:BHARATFORG-EQ,Bharat Forge Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BHEL,NSE:BHEL-EQ,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GROWW,NSE:GROWW-EQ,Billionbrains Garage Ventures Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BIOCON,NSE:BIOCON-EQ,Biocon Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
BLUESTARCO,NSE:BLUESTARCO-EQ,Blue Star Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COCHINSHIP,NSE:COCHINSHIP-EQ,Cochin Shipyard Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COFORGE,NSE:COFORGE-EQ,Coforge Ltd.,Information Technology,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COLPAL,NSE:COLPAL-EQ,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
CONCOR,NSE:CONCOR-EQ,Container Corporation of India Ltd.,Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
COROMANDEL,NSE:COROMANDEL-EQ,Coromandel International Ltd.,Chemicals,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
DABUR,NSE:DABUR-EQ,Dabur India Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
DIXON,NSE:DIXON-EQ,Dixon Technologies (India) Ltd.,Consumer Durables,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
EXIDEIND,NSE:EXIDEIND-EQ,Exide Industries Ltd.,Automobile and Auto Components,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
NYKAA,NSE:NYKAA-EQ,FSN E-Commerce Ventures Ltd.,Consumer Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
FEDERALBNK,NSE:FEDERALBNK-EQ,Federal Bank Ltd.,Financial Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
FORTIS,NSE:FORTIS-EQ,Fortis Healthcare Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GVT&D,NSE:GVT&D-EQ,GE Vernova T&D India Ltd.,Capital Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GMRAIRPORT,NSE:GMRAIRPORT-EQ,GMR Airports Ltd.,Services,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GLENMARK,NSE:GLENMARK-EQ,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GODFRYPHLP,NSE:GODFRYPHLP-EQ,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
GODREJPROP,NSE:GODREJPROP-EQ,Godrej Properties Ltd.,Realty,NIFTYMIDCAP100,Official NSE index constituent source=ind_niftymidcap100list.csv; FYERS-tradable universe excludes dummy constituents
